word,lang,script,alphabet_profile,weight,category,enabled,notes
فاتورة,ar,arabic,arabic_ar,1.0,business_document_ocr,1,starter_150_review_recommended
تقرير,ar,arabic,arabic_ar,1.0,business_document_ocr,1,starter_150_review_recommended
تسليم,ar,arabic,arabic_ar,1.0,business_document_ocr,1,starter_150_review_recommended
وثيقة,ar,arabic,arabic_ar,1.0,business_document_ocr,1,starter_150_review_recommended
عميل,ar,arabic,arabic_ar,1.0,business_document_ocr,1,starter_150_review_recommended
مورد,ar,arabic,arabic_ar,1.0,business_document_ocr,1,starter_150_review_recommended
طلب,ar,arabic,arabic_ar,1.0,business_document_ocr,1,starter_150_review_recommended
كمية,ar,arabic,arabic_ar,1.0,business_document_ocr,1,starter_150_review_recommended
جودة,ar,arabic,arabic_ar,1.0,business_document_ocr,1,starter_150_review_recommended
مستودع,ar,arabic,arabic_ar,1.0,business_document_ocr,1,starter_150_review_recommended
دفع,ar,arabic,arabic_ar,1.0,business_document_ocr,1,starter_150_review_recommended
عقد,ar,arabic,arabic_ar,1.0,business_document_ocr,1,starter_150_review_recommended
شحنة,ar,arabic,arabic_ar,1.0,business_document_ocr,1,starter_150_review_recommended
منتج,ar,arabic,arabic_ar,1.0,business_document_ocr,1,starter_150_review_recommended
تحليل,ar,arabic,arabic_ar,1.0,business_document_ocr,1,starter_150_review_recommended
ملخص,ar,arabic,arabic_ar,1.0,business_document_ocr,1,starter_150_review_recommended
سجل,ar,arabic,arabic_ar,1.0,business_document_ocr,1,starter_150_review_recommended
جدول,ar,arabic,arabic_ar,1.0,business_document_ocr,1,starter_150_review_recommended
حقل,ar,arabic,arabic_ar,1.0,business_document_ocr,1,starter_150_review_recommended
تخطيط,ar,arabic,arabic_ar,1.0,business_document_ocr,1,starter_150_review_recommended
صفحة,ar,arabic,arabic_ar,1.0,business_document_ocr,1,starter_150_review_recommended
سطر,ar,arabic,arabic_ar,1.0,business_document_ocr,1,starter_150_review_recommended
قسم,ar,arabic,arabic_ar,1.0,business_document_ocr,1,starter_150_review_recommended
عنوان,ar,arabic,arabic_ar,1.0,business_document_ocr,1,starter_150_review_recommended
رأس,ar,arabic,arabic_ar,1.0,business_document_ocr,1,starter_150_review_recommended
تذييل,ar,arabic,arabic_ar,1.0,business_document_ocr,1,starter_150_review_recommended
فقرة,ar,arabic,arabic_ar,1.0,business_document_ocr,1,starter_150_review_recommended
جملة,ar,arabic,arabic_ar,1.0,business_document_ocr,1,starter_150_review_recommended
كلمة,ar,arabic,arabic_ar,1.0,business_document_ocr,1,starter_150_review_recommended
رقم,ar,arabic,arabic_ar,1.0,business_document_ocr,1,starter_150_review_recommended
تاريخ,ar,arabic,arabic_ar,1.0,business_document_ocr,1,starter_150_review_recommended
عنوان_مكان,ar,arabic,arabic_ar,1.0,business_document_ocr,1,starter_150_review_recommended
مدينة,ar,arabic,arabic_ar,1.0,business_document_ocr,1,starter_150_review_recommended
دولة,ar,arabic,arabic_ar,1.0,business_document_ocr,1,starter_150_review_recommended
ميناء,ar,arabic,arabic_ar,1.0,business_document_ocr,1,starter_150_review_recommended
محطة,ar,arabic,arabic_ar,1.0,business_document_ocr,1,starter_150_review_recommended
سفينة,ar,arabic,arabic_ar,1.0,business_document_ocr,1,starter_150_review_recommended
حمولة,ar,arabic,arabic_ar,1.0,business_document_ocr,1,starter_150_review_recommended
حاوية,ar,arabic,arabic_ar,1.0,business_document_ocr,1,starter_150_review_recommended
