word,lang,script,alphabet_profile,weight,category,enabled,notes
счет,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
отчет,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
доставка,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
документ,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
клиент,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
поставщик,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
заказ,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
количество,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
качество,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
склад,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
оплата,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
договор,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
отгрузка,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
товар,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
анализ,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
сводка,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
запись,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
таблица,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
поле,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
макет,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
страница,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
строка,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
раздел,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
заголовок,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
шапка,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
подвал,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
абзац,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
предложение,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
слово,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
номер,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
дата,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
адрес,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
город,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
страна,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
порт,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
терминал,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
судно,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
груз,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
контейнер,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
штрихкод,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
ссылка,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
описание,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
категория,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
статус,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
одобрение,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
подпись,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
печать,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
копия,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
оригинал,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
ревизия,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
счет_учета,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
баланс,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
валюта,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
цена,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
скидка,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
налог,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
итог,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
подытог,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
единица,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
пакет,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
коробка,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
палета,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
вес,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
объем,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
длина,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
ширина,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
высота,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
температура,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
хранение,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
инвентарь,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
запас,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
материал,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
оборудование,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
машина,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
транспорт,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
водитель,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
маршрут,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
расстояние,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
топливо,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
пошлина,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
таможня,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
сертификат,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
лицензия,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
разрешение,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
страхование,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
инспекция,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
аудит,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
риск,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
проблема,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
заметка,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
сообщение,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
почта,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
телефон,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
контакт,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
отдел,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
менеджер,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
сотрудник,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
команда,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
проект,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
задача,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
срок,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
расписание,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
календарь,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
встреча,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
решение,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
запрос,ru,cyrillic,cyrillic_ru,1.0,business_document_ocr,1,starter_150_review_recommended
