word,lang,script,alphabet_profile,weight,category,enabled,notes
चालान,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
रिपोर्ट,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
वितरण,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
दस्तावेज,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
ग्राहक,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
आपूर्तिकर्ता,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
आदेश,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
मात्रा,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
गुणवत्ता,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
गोदाम,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
भुगतान,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
अनुबंध,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
शिपमेंट,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
उत्पाद,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
विश्लेषण,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
सारांश,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
रिकॉर्ड,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
तालिका,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
क्षेत्र,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
लेआउट,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
पृष्ठ,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
पंक्ति,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
खंड,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
शीर्षक,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
हेडर,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
फुटर,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
अनुच्छेद,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
वाक्य,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
शब्द,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
संख्या,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
तारीख,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
पता,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
शहर,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
देश,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
बंदरगाह,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
टर्मिनल,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
जहाज,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
माल,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
कंटेनर,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
बारकोड,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
संदर्भ,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
विवरण,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
श्रेणी,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
स्थिति,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
स्वीकृति,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
हस्ताक्षर,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
मुहर,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
प्रतिलिपि,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
मूल,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
संशोधन,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
खाता,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
शेष,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
मुद्रा,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
मूल्य,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
छूट,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
कर,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
कुल,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
उपकुल,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
इकाई,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
पैकेज,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
डिब्बा,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
पैलेट,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
वजन,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
आयतन,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
लंबाई,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
चौड़ाई,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
ऊंचाई,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
तापमान,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
भंडारण,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
सूची,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
स्टॉक,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
सामग्री,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
उपकरण,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
मशीन,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
वाहन,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
चालक,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
मार्ग,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
दूरी,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
ईंधन,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
टोल,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
सीमा_शुल्क,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
प्रमाणपत्र,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
लाइसेंस,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
अनुमति,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
बीमा,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
निरीक्षण,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
ऑडिट,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
जोखिम,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
समस्या,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
नोट,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
संदेश,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
ईमेल,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
फोन,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
संपर्क,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
विभाग,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
प्रबंधक,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
कर्मचारी,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
टीम,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
परियोजना,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
कार्य,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
समयसीमा,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
अनुसूची,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
कैलेंडर,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
बैठक,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
निर्णय,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
अनुरोध,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
प्रतिक्रिया,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
प्रश्न,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
उत्तर,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
टिप्पणी,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
फ़ाइल,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
फ़ोल्डर,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
छवि,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
मास्क,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
एनोटेशन,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
ग्राउंड_ट्रुथ,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
डेटासेट,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
निर्यात,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
आयात,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
टेम्पलेट,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
फ़ॉन्ट,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
अंतर,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
मार्जिन,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
सीमा,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
सेल,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
पंक्ति_तालिका,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
स्तंभ,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
चार्ट,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
चित्र,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
सूत्र,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
समीकरण,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
प्रतीक,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
लेबल,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
वर्ग,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
नमूना,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
बैच,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
वर्कर,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
बीज,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
यादृच्छिक,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
फ़िल्टर,hi,devanagari,devanagari_hi,1.0,business_document_ocr,1,starter_150_review_recommended
