word,lang,script,alphabet_profile,weight,category,enabled,notes
τιμολόγιο,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
αναφορά,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
παράδοση,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
έγγραφο,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
πελάτης,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
προμηθευτής,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
παραγγελία,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
ποσότητα,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
ποιότητα,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
αποθήκη,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
πληρωμή,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
σύμβαση,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
αποστολή,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
προϊόν,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
ανάλυση,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
σύνοψη,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
εγγραφή,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
πίνακας,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
πεδίο,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
διάταξη,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
σελίδα,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
γραμμή,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
ενότητα,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
τίτλος,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
κεφαλίδα,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
υποσέλιδο,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
παράγραφος,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
πρόταση,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
λέξη,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
αριθμός,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
ημερομηνία,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
διεύθυνση,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
πόλη,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
χώρα,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
λιμάνι,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
τερματικός,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
πλοίο,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
φορτίο,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
κοντέινερ,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
γραμμωτός_κώδικας,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
αναφορά_κωδικού,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
περιγραφή,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
κατηγορία,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
κατάσταση,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
έγκριση,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
υπογραφή,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
σφραγίδα,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
αντίγραφο,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
πρωτότυπο,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
αναθεώρηση,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
λογαριασμός,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
υπόλοιπο,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
νόμισμα,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
τιμή,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
έκπτωση,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
φόρος,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
σύνολο,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
υποσύνολο,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
μονάδα,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
πακέτο,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
κουτί,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
παλέτα,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
βάρος,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
όγκος,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
μήκος,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
πλάτος,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
ύψος,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
θερμοκρασία,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
αποθήκευση,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
απόθεμα,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
στοκ,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
υλικό,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
εξοπλισμός,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
μηχανή,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
όχημα,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
οδηγός,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
διαδρομή,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
απόσταση,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
καύσιμο,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
διόδια,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
τελωνείο,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
πιστοποιητικό,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
άδεια,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
έγκριση_άδειας,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
ασφάλεια,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
επιθεώρηση,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
έλεγχος,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
κίνδυνος,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
ζήτημα,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
σημείωση,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
μήνυμα,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
email,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
τηλέφωνο,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
επαφή,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
τμήμα,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
διευθυντής,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
υπάλληλος,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
ομάδα,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
έργο,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
εργασία,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
προθεσμία,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
πρόγραμμα,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
ημερολόγιο,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
συνάντηση,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
απόφαση,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
αίτημα,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
απάντηση,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
ερώτηση,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
απόκριση,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
σχόλιο,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
αρχείο,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
φάκελος,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
εικόνα,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
μάσκα,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
επισήμανση,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
αλήθεια_αναφοράς,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
σύνολο_δεδομένων,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
εξαγωγή,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
εισαγωγή,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
πρότυπο,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
γραμματοσειρά,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
διάστιχο,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
περιθώριο,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
περίγραμμα,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
κελί,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
σειρά,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
στήλη,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
γράφημα,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
σχήμα,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
τύπος,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
εξίσωση,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
σύμβολο,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
ετικέτα,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
κλάση,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
δείγμα,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
παρτίδα,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
εργάτης,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
σπόρος,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
τυχαίο,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
φίλτρο,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
γλώσσα,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
γραφή,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
αλφάβητο,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
unicode,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
κωδικοποίηση,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
μορφή,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
σχήμα_δεδομένων,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
επικύρωση,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
σφάλμα,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
προειδοποίηση,el,greek,greek_el,1.0,business_document_ocr,1,starter_150_review_recommended
