word,lang,script,alphabet_profile,weight,category,enabled,notes
发票,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
报告,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
交付,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
文件,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
客户,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
供应商,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
订单,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
数量,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
质量,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
仓库,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
付款,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
合同,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
运输,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
产品,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
分析,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
摘要,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
记录,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
表格,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
字段,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
布局,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
页面,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
行,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
章节,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
标题,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
页眉,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
页脚,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
段落,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
句子,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
词语,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
编号,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
日期,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
地址,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
城市,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
国家,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
港口,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
码头,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
船舶,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
货物,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
集装箱,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
条码,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
参考,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
描述,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
类别,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
状态,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
批准,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
签名,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
印章,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
副本,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
原件,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
修订,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
账户,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
余额,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
货币,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
价格,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
折扣,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
税费,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
总计,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
小计,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
单位,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
包裹,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
箱子,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
托盘,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
重量,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
体积,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
长度,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
宽度,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
高度,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
温度,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
存储,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
库存,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
存货,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
材料,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
设备,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
机器,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
车辆,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
司机,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
路线,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
距离,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
燃料,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
通行费,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
海关,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
证书,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
许可证,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
许可,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
保险,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
检查,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
审计,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
风险,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
问题,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
备注,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
消息,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
邮件,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
电话,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
联系人,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
部门,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
经理,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
员工,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
团队,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
项目,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
任务,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
截止期,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
计划,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
日历,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
会议,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
决定,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
请求,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
响应,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
问题项,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
答案,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
评论,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
文件夹,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
图像,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
掩码,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
标注,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
真实值,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
数据集,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
导出,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
导入,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
模板,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
字体,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
间距,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
边距,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
边框,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
单元格,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
表行,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
列,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
图表,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
图形,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
公式,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
方程,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
符号,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
标签,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
类别名,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
样本,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
批次,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
工作器,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
种子,zh,han,han_zh,1.0,business_document_ocr,1,starter_150_review_recommended
