word,lang,script,alphabet_profile,weight,category,enabled,notes
송장,ko,hangul,hangul_ko,1.0,business_document_ocr,1,starter_150_review_recommended
보고서,ko,hangul,hangul_ko,1.0,business_document_ocr,1,starter_150_review_recommended
배송,ko,hangul,hangul_ko,1.0,business_document_ocr,1,starter_150_review_recommended
문서,ko,hangul,hangul_ko,1.0,business_document_ocr,1,starter_150_review_recommended
고객,ko,hangul,hangul_ko,1.0,business_document_ocr,1,starter_150_review_recommended
공급자,ko,hangul,hangul_ko,1.0,business_document_ocr,1,starter_150_review_recommended
주문,ko,hangul,hangul_ko,1.0,business_document_ocr,1,starter_150_review_recommended
수량,ko,hangul,hangul_ko,1.0,business_document_ocr,1,starter_150_review_recommended
품질,ko,hangul,hangul_ko,1.0,business_document_ocr,1,starter_150_review_recommended
창고,ko,hangul,hangul_ko,1.0,business_document_ocr,1,starter_150_review_recommended
결제,ko,hangul,hangul_ko,1.0,business_document_ocr,1,starter_150_review_recommended
계약,ko,hangul,hangul_ko,1.0,business_document_ocr,1,starter_150_review_recommended
선적,ko,hangul,hangul_ko,1.0,business_document_ocr,1,starter_150_review_recommended
제품,ko,hangul,hangul_ko,1.0,business_document_ocr,1,starter_150_review_recommended
분석,ko,hangul,hangul_ko,1.0,business_document_ocr,1,starter_150_review_recommended
요약,ko,hangul,hangul_ko,1.0,business_document_ocr,1,starter_150_review_recommended
기록,ko,hangul,hangul_ko,1.0,business_document_ocr,1,starter_150_review_recommended
표,ko,hangul,hangul_ko,1.0,business_document_ocr,1,starter_150_review_recommended
필드,ko,hangul,hangul_ko,1.0,business_document_ocr,1,starter_150_review_recommended
레이아웃,ko,hangul,hangul_ko,1.0,business_document_ocr,1,starter_150_review_recommended
페이지,ko,hangul,hangul_ko,1.0,business_document_ocr,1,starter_150_review_recommended
줄,ko,hangul,hangul_ko,1.0,business_document_ocr,1,starter_150_review_recommended
구역,ko,hangul,hangul_ko,1.0,business_document_ocr,1,starter_150_review_recommended
제목,ko,hangul,hangul_ko,1.0,business_document_ocr,1,starter_150_review_recommended
