word,lang,script,alphabet_profile,weight,category,enabled,notes
חשבונית,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
דוח,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
משלוח,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
מסמך,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
לקוח,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
ספק,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
הזמנה,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
כמות,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
איכות,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
מחסן,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
תשלום,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
חוזה,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
שליחה,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
מוצר,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
ניתוח,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
סיכום,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
רשומה,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
טבלה,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
שדה,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
פריסה,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
עמוד,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
שורה,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
מקטע,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
כותרת,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
כותרת_עליונה,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
כותרת_תחתונה,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
פסקה,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
משפט,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
מילה,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
מספר,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
תאריך,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
כתובת,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
עיר,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
מדינה,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
נמל,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
מסוף,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
ספינה,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
מטען,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
מכולה,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
ברקוד,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
הפניה,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
תיאור,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
קטגוריה,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
סטטוס,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
אישור,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
חתימה,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
חותמת,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
עותק,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
מקור,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
עדכון,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
חשבון,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
יתרה,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
מטבע,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
מחיר,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
הנחה,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
מס,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
סך_הכול,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
סיכום_ביניים,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
יחידה,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
חבילה,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
קופסה,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
משטח,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
משקל,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
נפח,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
אורך,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
רוחב,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
גובה,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
טמפרטורה,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
אחסון,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
מלאי,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
מלאי_זמין,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
חומר,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
ציוד,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
מכונה,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
רכב,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
נהג,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
מסלול,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
מרחק,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
דלק,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
אגרה,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
מכס,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
תעודה,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
רישיון,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
היתר,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
ביטוח,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
בדיקה,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
ביקורת,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
סיכון,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
בעיה,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
הערה,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
הודעה,he,hebrew,hebrew_he,1.0,business_document_ocr,1,starter_150_review_recommended
