word,lang,script,alphabet_profile,weight,category,enabled,notes
請求書,ja,kana_han,kana_ja,1.0,business_document_ocr,1,starter_150_review_recommended
報告,ja,kana_han,kana_ja,1.0,business_document_ocr,1,starter_150_review_recommended
納品,ja,kana_han,kana_ja,1.0,business_document_ocr,1,starter_150_review_recommended
文書,ja,kana_han,kana_ja,1.0,business_document_ocr,1,starter_150_review_recommended
顧客,ja,kana_han,kana_ja,1.0,business_document_ocr,1,starter_150_review_recommended
供給者,ja,kana_han,kana_ja,1.0,business_document_ocr,1,starter_150_review_recommended
注文,ja,kana_han,kana_ja,1.0,business_document_ocr,1,starter_150_review_recommended
数量,ja,kana_han,kana_ja,1.0,business_document_ocr,1,starter_150_review_recommended
品質,ja,kana_han,kana_ja,1.0,business_document_ocr,1,starter_150_review_recommended
倉庫,ja,kana_han,kana_ja,1.0,business_document_ocr,1,starter_150_review_recommended
支払い,ja,kana_han,kana_ja,1.0,business_document_ocr,1,starter_150_review_recommended
契約,ja,kana_han,kana_ja,1.0,business_document_ocr,1,starter_150_review_recommended
出荷,ja,kana_han,kana_ja,1.0,business_document_ocr,1,starter_150_review_recommended
製品,ja,kana_han,kana_ja,1.0,business_document_ocr,1,starter_150_review_recommended
分析,ja,kana_han,kana_ja,1.0,business_document_ocr,1,starter_150_review_recommended
要約,ja,kana_han,kana_ja,1.0,business_document_ocr,1,starter_150_review_recommended
記録,ja,kana_han,kana_ja,1.0,business_document_ocr,1,starter_150_review_recommended
表,ja,kana_han,kana_ja,1.0,business_document_ocr,1,starter_150_review_recommended
項目,ja,kana_han,kana_ja,1.0,business_document_ocr,1,starter_150_review_recommended
レイアウト,ja,kana_han,kana_ja,1.0,business_document_ocr,1,starter_150_review_recommended
ページ,ja,kana_han,kana_ja,1.0,business_document_ocr,1,starter_150_review_recommended
行,ja,kana_han,kana_ja,1.0,business_document_ocr,1,starter_150_review_recommended
節,ja,kana_han,kana_ja,1.0,business_document_ocr,1,starter_150_review_recommended
タイトル,ja,kana_han,kana_ja,1.0,business_document_ocr,1,starter_150_review_recommended
ヘッダー,ja,kana_han,kana_ja,1.0,business_document_ocr,1,starter_150_review_recommended
フッター,ja,kana_han,kana_ja,1.0,business_document_ocr,1,starter_150_review_recommended
段落,ja,kana_han,kana_ja,1.0,business_document_ocr,1,starter_150_review_recommended
文,ja,kana_han,kana_ja,1.0,business_document_ocr,1,starter_150_review_recommended
単語,ja,kana_han,kana_ja,1.0,business_document_ocr,1,starter_150_review_recommended
番号,ja,kana_han,kana_ja,1.0,business_document_ocr,1,starter_150_review_recommended
日付,ja,kana_han,kana_ja,1.0,business_document_ocr,1,starter_150_review_recommended
住所,ja,kana_han,kana_ja,1.0,business_document_ocr,1,starter_150_review_recommended
都市,ja,kana_han,kana_ja,1.0,business_document_ocr,1,starter_150_review_recommended
国,ja,kana_han,kana_ja,1.0,business_document_ocr,1,starter_150_review_recommended
港,ja,kana_han,kana_ja,1.0,business_document_ocr,1,starter_150_review_recommended
