word,lang,script,alphabet_profile,weight,category,enabled,notes
invoice,en,latin,latin_en,1.0,business_document_ocr,1,starter_150_review_recommended
report,en,latin,latin_en,1.0,business_document_ocr,1,starter_150_review_recommended
delivery,en,latin,latin_en,1.0,business_document_ocr,1,starter_150_review_recommended
document,en,latin,latin_en,1.0,business_document_ocr,1,starter_150_review_recommended
customer,en,latin,latin_en,1.0,business_document_ocr,1,starter_150_review_recommended
supplier,en,latin,latin_en,1.0,business_document_ocr,1,starter_150_review_recommended
order,en,latin,latin_en,1.0,business_document_ocr,1,starter_150_review_recommended
quantity,en,latin,latin_en,1.0,business_document_ocr,1,starter_150_review_recommended
quality,en,latin,latin_en,1.0,business_document_ocr,1,starter_150_review_recommended
warehouse,en,latin,latin_en,1.0,business_document_ocr,1,starter_150_review_recommended
payment,en,latin,latin_en,1.0,business_document_ocr,1,starter_150_review_recommended
contract,en,latin,latin_en,1.0,business_document_ocr,1,starter_150_review_recommended
shipment,en,latin,latin_en,1.0,business_document_ocr,1,starter_150_review_recommended
product,en,latin,latin_en,1.0,business_document_ocr,1,starter_150_review_recommended
analysis,en,latin,latin_en,1.0,business_document_ocr,1,starter_150_review_recommended
summary,en,latin,latin_en,1.0,business_document_ocr,1,starter_150_review_recommended
record,en,latin,latin_en,1.0,business_document_ocr,1,starter_150_review_recommended
table,en,latin,latin_en,1.0,business_document_ocr,1,starter_150_review_recommended
field,en,latin,latin_en,1.0,business_document_ocr,1,starter_150_review_recommended
layout,en,latin,latin_en,1.0,business_document_ocr,1,starter_150_review_recommended
page,en,latin,latin_en,1.0,business_document_ocr,1,starter_150_review_recommended
line,en,latin,latin_en,1.0,business_document_ocr,1,starter_150_review_recommended
section,en,latin,latin_en,1.0,business_document_ocr,1,starter_150_review_recommended
title,en,latin,latin_en,1.0,business_document_ocr,1,starter_150_review_recommended
header,en,latin,latin_en,1.0,business_document_ocr,1,starter_150_review_recommended
footer,en,latin,latin_en,1.0,business_document_ocr,1,starter_150_review_recommended
paragraph,en,latin,latin_en,1.0,business_document_ocr,1,starter_150_review_recommended
sentence,en,latin,latin_en,1.0,business_document_ocr,1,starter_150_review_recommended
word,en,latin,latin_en,1.0,business_document_ocr,1,starter_150_review_recommended
number,en,latin,latin_en,1.0,business_document_ocr,1,starter_150_review_recommended
date,en,latin,latin_en,1.0,business_document_ocr,1,starter_150_review_recommended
address,en,latin,latin_en,1.0,business_document_ocr,1,starter_150_review_recommended
city,en,latin,latin_en,1.0,business_document_ocr,1,starter_150_review_recommended
country,en,latin,latin_en,1.0,business_document_ocr,1,starter_150_review_recommended
port,en,latin,latin_en,1.0,business_document_ocr,1,starter_150_review_recommended
terminal,en,latin,latin_en,1.0,business_document_ocr,1,starter_150_review_recommended
vessel,en,latin,latin_en,1.0,business_document_ocr,1,starter_150_review_recommended
cargo,en,latin,latin_en,1.0,business_document_ocr,1,starter_150_review_recommended
container,en,latin,latin_en,1.0,business_document_ocr,1,starter_150_review_recommended
barcode,en,latin,latin_en,1.0,business_document_ocr,1,starter_150_review_recommended
reference,en,latin,latin_en,1.0,business_document_ocr,1,starter_150_review_recommended
description,en,latin,latin_en,1.0,business_document_ocr,1,starter_150_review_recommended
category,en,latin,latin_en,1.0,business_document_ocr,1,starter_150_review_recommended
status,en,latin,latin_en,1.0,business_document_ocr,1,starter_150_review_recommended
approval,en,latin,latin_en,1.0,business_document_ocr,1,starter_150_review_recommended
signature,en,latin,latin_en,1.0,business_document_ocr,1,starter_150_review_recommended
stamp,en,latin,latin_en,1.0,business_document_ocr,1,starter_150_review_recommended
copy,en,latin,latin_en,1.0,business_document_ocr,1,starter_150_review_recommended
original,en,latin,latin_en,1.0,business_document_ocr,1,starter_150_review_recommended
revision,en,latin,latin_en,1.0,business_document_ocr,1,starter_150_review_recommended
account,en,latin,latin_en,1.0,business_document_ocr,1,starter_150_review_recommended
balance,en,latin,latin_en,1.0,business_document_ocr,1,starter_150_review_recommended
currency,en,latin,latin_en,1.0,business_document_ocr,1,starter_150_review_recommended
price,en,latin,latin_en,1.0,business_document_ocr,1,starter_150_review_recommended
discount,en,latin,latin_en,1.0,business_document_ocr,1,starter_150_review_recommended
tax,en,latin,latin_en,1.0,business_document_ocr,1,starter_150_review_recommended
total,en,latin,latin_en,1.0,business_document_ocr,1,starter_150_review_recommended
