word,lang,script,alphabet_profile,weight,category,enabled,notes
factura,es,latin,latin_es,1.0,business_document_ocr,1,starter_150_review_recommended
informe,es,latin,latin_es,1.0,business_document_ocr,1,starter_150_review_recommended
entrega,es,latin,latin_es,1.0,business_document_ocr,1,starter_150_review_recommended
documento,es,latin,latin_es,1.0,business_document_ocr,1,starter_150_review_recommended
cliente,es,latin,latin_es,1.0,business_document_ocr,1,starter_150_review_recommended
proveedor,es,latin,latin_es,1.0,business_document_ocr,1,starter_150_review_recommended
pedido,es,latin,latin_es,1.0,business_document_ocr,1,starter_150_review_recommended
cantidad,es,latin,latin_es,1.0,business_document_ocr,1,starter_150_review_recommended
calidad,es,latin,latin_es,1.0,business_document_ocr,1,starter_150_review_recommended
almacén,es,latin,latin_es,1.0,business_document_ocr,1,starter_150_review_recommended
pago,es,latin,latin_es,1.0,business_document_ocr,1,starter_150_review_recommended
contrato,es,latin,latin_es,1.0,business_document_ocr,1,starter_150_review_recommended
envío,es,latin,latin_es,1.0,business_document_ocr,1,starter_150_review_recommended
producto,es,latin,latin_es,1.0,business_document_ocr,1,starter_150_review_recommended
análisis,es,latin,latin_es,1.0,business_document_ocr,1,starter_150_review_recommended
resumen,es,latin,latin_es,1.0,business_document_ocr,1,starter_150_review_recommended
registro,es,latin,latin_es,1.0,business_document_ocr,1,starter_150_review_recommended
tabla,es,latin,latin_es,1.0,business_document_ocr,1,starter_150_review_recommended
campo,es,latin,latin_es,1.0,business_document_ocr,1,starter_150_review_recommended
diseño,es,latin,latin_es,1.0,business_document_ocr,1,starter_150_review_recommended
página,es,latin,latin_es,1.0,business_document_ocr,1,starter_150_review_recommended
línea,es,latin,latin_es,1.0,business_document_ocr,1,starter_150_review_recommended
sección,es,latin,latin_es,1.0,business_document_ocr,1,starter_150_review_recommended
título,es,latin,latin_es,1.0,business_document_ocr,1,starter_150_review_recommended
encabezado,es,latin,latin_es,1.0,business_document_ocr,1,starter_150_review_recommended
pie,es,latin,latin_es,1.0,business_document_ocr,1,starter_150_review_recommended
párrafo,es,latin,latin_es,1.0,business_document_ocr,1,starter_150_review_recommended
oración,es,latin,latin_es,1.0,business_document_ocr,1,starter_150_review_recommended
palabra,es,latin,latin_es,1.0,business_document_ocr,1,starter_150_review_recommended
número,es,latin,latin_es,1.0,business_document_ocr,1,starter_150_review_recommended
fecha,es,latin,latin_es,1.0,business_document_ocr,1,starter_150_review_recommended
dirección,es,latin,latin_es,1.0,business_document_ocr,1,starter_150_review_recommended
ciudad,es,latin,latin_es,1.0,business_document_ocr,1,starter_150_review_recommended
país,es,latin,latin_es,1.0,business_document_ocr,1,starter_150_review_recommended
puerto,es,latin,latin_es,1.0,business_document_ocr,1,starter_150_review_recommended
terminal,es,latin,latin_es,1.0,business_document_ocr,1,starter_150_review_recommended
buque,es,latin,latin_es,1.0,business_document_ocr,1,starter_150_review_recommended
carga,es,latin,latin_es,1.0,business_document_ocr,1,starter_150_review_recommended
contenedor,es,latin,latin_es,1.0,business_document_ocr,1,starter_150_review_recommended
código,es,latin,latin_es,1.0,business_document_ocr,1,starter_150_review_recommended
referencia,es,latin,latin_es,1.0,business_document_ocr,1,starter_150_review_recommended
descripción,es,latin,latin_es,1.0,business_document_ocr,1,starter_150_review_recommended
categoría,es,latin,latin_es,1.0,business_document_ocr,1,starter_150_review_recommended
estado,es,latin,latin_es,1.0,business_document_ocr,1,starter_150_review_recommended
