word,lang,script,alphabet_profile,weight,category,enabled,notes
facture,fr,latin,latin_fr,1.0,business_document_ocr,1,starter_150_review_recommended
rapport,fr,latin,latin_fr,1.0,business_document_ocr,1,starter_150_review_recommended
livraison,fr,latin,latin_fr,1.0,business_document_ocr,1,starter_150_review_recommended
document,fr,latin,latin_fr,1.0,business_document_ocr,1,starter_150_review_recommended
client,fr,latin,latin_fr,1.0,business_document_ocr,1,starter_150_review_recommended
fournisseur,fr,latin,latin_fr,1.0,business_document_ocr,1,starter_150_review_recommended
commande,fr,latin,latin_fr,1.0,business_document_ocr,1,starter_150_review_recommended
quantité,fr,latin,latin_fr,1.0,business_document_ocr,1,starter_150_review_recommended
qualité,fr,latin,latin_fr,1.0,business_document_ocr,1,starter_150_review_recommended
entrepôt,fr,latin,latin_fr,1.0,business_document_ocr,1,starter_150_review_recommended
paiement,fr,latin,latin_fr,1.0,business_document_ocr,1,starter_150_review_recommended
contrat,fr,latin,latin_fr,1.0,business_document_ocr,1,starter_150_review_recommended
expédition,fr,latin,latin_fr,1.0,business_document_ocr,1,starter_150_review_recommended
produit,fr,latin,latin_fr,1.0,business_document_ocr,1,starter_150_review_recommended
analyse,fr,latin,latin_fr,1.0,business_document_ocr,1,starter_150_review_recommended
résumé,fr,latin,latin_fr,1.0,business_document_ocr,1,starter_150_review_recommended
enregistrement,fr,latin,latin_fr,1.0,business_document_ocr,1,starter_150_review_recommended
tableau,fr,latin,latin_fr,1.0,business_document_ocr,1,starter_150_review_recommended
champ,fr,latin,latin_fr,1.0,business_document_ocr,1,starter_150_review_recommended
mise_en_page,fr,latin,latin_fr,1.0,business_document_ocr,1,starter_150_review_recommended
page,fr,latin,latin_fr,1.0,business_document_ocr,1,starter_150_review_recommended
ligne,fr,latin,latin_fr,1.0,business_document_ocr,1,starter_150_review_recommended
section,fr,latin,latin_fr,1.0,business_document_ocr,1,starter_150_review_recommended
titre,fr,latin,latin_fr,1.0,business_document_ocr,1,starter_150_review_recommended
en-tête,fr,latin,latin_fr,1.0,business_document_ocr,1,starter_150_review_recommended
pied,fr,latin,latin_fr,1.0,business_document_ocr,1,starter_150_review_recommended
paragraphe,fr,latin,latin_fr,1.0,business_document_ocr,1,starter_150_review_recommended
phrase,fr,latin,latin_fr,1.0,business_document_ocr,1,starter_150_review_recommended
mot,fr,latin,latin_fr,1.0,business_document_ocr,1,starter_150_review_recommended
numéro,fr,latin,latin_fr,1.0,business_document_ocr,1,starter_150_review_recommended
date,fr,latin,latin_fr,1.0,business_document_ocr,1,starter_150_review_recommended
adresse,fr,latin,latin_fr,1.0,business_document_ocr,1,starter_150_review_recommended
ville,fr,latin,latin_fr,1.0,business_document_ocr,1,starter_150_review_recommended
pays,fr,latin,latin_fr,1.0,business_document_ocr,1,starter_150_review_recommended
port,fr,latin,latin_fr,1.0,business_document_ocr,1,starter_150_review_recommended
terminal,fr,latin,latin_fr,1.0,business_document_ocr,1,starter_150_review_recommended
navire,fr,latin,latin_fr,1.0,business_document_ocr,1,starter_150_review_recommended
cargaison,fr,latin,latin_fr,1.0,business_document_ocr,1,starter_150_review_recommended
conteneur,fr,latin,latin_fr,1.0,business_document_ocr,1,starter_150_review_recommended
code_barres,fr,latin,latin_fr,1.0,business_document_ocr,1,starter_150_review_recommended
référence,fr,latin,latin_fr,1.0,business_document_ocr,1,starter_150_review_recommended
