word,lang,script,alphabet_profile,weight,category,enabled,notes
ใบแจ้งหนี้,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
รายงาน,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
การส่งมอบ,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
เอกสาร,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
ลูกค้า,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
ผู้จัดหา,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
คำสั่งซื้อ,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
ปริมาณ,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
คุณภาพ,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
คลังสินค้า,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
การชำระเงิน,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
สัญญา,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
การจัดส่ง,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
สินค้า,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
การวิเคราะห์,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
สรุป,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
บันทึก,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
ตาราง,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
ฟิลด์,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
เค้าโครง,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
หน้า,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
บรรทัด,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
ส่วน,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
ชื่อเรื่อง,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
หัวกระดาษ,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
ท้ายกระดาษ,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
ย่อหน้า,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
ประโยค,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
คำ,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
หมายเลข,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
วันที่,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
ที่อยู่,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
เมือง,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
ประเทศ,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
ท่าเรือ,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
สถานีปลายทาง,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
เรือ,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
สินค้าเรือ,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
ตู้คอนเทนเนอร์,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
บาร์โค้ด,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
อ้างอิง,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
คำอธิบาย,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
หมวดหมู่,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
สถานะ,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
การอนุมัติ,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
ลายเซ็น,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
ตราประทับ,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
สำเนา,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
ต้นฉบับ,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
การแก้ไข,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
บัญชี,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
ยอดคงเหลือ,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
สกุลเงิน,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
ราคา,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
ส่วนลด,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
ภาษี,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
รวม,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
ยอดย่อย,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
หน่วย,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
บรรจุภัณฑ์,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
กล่อง,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
พาเลท,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
น้ำหนัก,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
ปริมาตร,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
ความยาว,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
ความกว้าง,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
ความสูง,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
อุณหภูมิ,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
การเก็บรักษา,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
สินค้าคงคลัง,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
สต็อก,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
วัสดุ,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
อุปกรณ์,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
เครื่องจักร,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
ยานพาหนะ,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
คนขับ,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
เส้นทาง,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
ระยะทาง,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
เชื้อเพลิง,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
ค่าผ่านทาง,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
ศุลกากร,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
ใบรับรอง,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
ใบอนุญาต,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
การอนุญาต,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
ประกันภัย,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
การตรวจสอบ,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
การตรวจบัญชี,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
ความเสี่ยง,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
ปัญหา,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
หมายเหตุ,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
ข้อความ,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
อีเมล,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
โทรศัพท์,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
ผู้ติดต่อ,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
แผนก,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
ผู้จัดการ,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
พนักงาน,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
ทีม,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
โครงการ,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
งาน,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
กำหนดส่ง,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
ตารางเวลา,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
ปฏิทิน,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
การประชุม,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
การตัดสินใจ,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
คำขอ,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
การตอบกลับ,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
คำถาม,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
คำตอบ,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
ความคิดเห็น,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
ไฟล์,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
โฟลเดอร์,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
รูปภาพ,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
มาสก์,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
คำอธิบายประกอบ,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
ค่าจริง,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
ชุดข้อมูล,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
ส่งออก,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
นำเข้า,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
แม่แบบ,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
แบบอักษร,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
ระยะห่าง,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
ขอบ,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
เส้นขอบ,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
เซลล์,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
แถว,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
คอลัมน์,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
แผนภูมิ,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
รูป,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
สูตร,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
สมการ,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
สัญลักษณ์,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
ป้ายกำกับ,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
คลาส,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
ตัวอย่าง,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
ชุดงาน,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
ตัวทำงาน,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
เมล็ด,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
สุ่ม,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
ตัวกรอง,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
ภาษา,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
ระบบเขียน,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
ตัวอักษร,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
ยูนิโคด,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
การเข้ารหัส,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
รูปแบบ,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
สคีมา,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
ข้อผิดพลาด,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
คำเตือน,th,thai,thai_th,1.0,business_document_ocr,1,starter_150_review_recommended
